round_id,crashed_at,total_bank_usd,users_count,start_at,profit_loss
6964191,1.47,158.18,39,2025-09-01T06:25:36.348500+00:00,64.4458
6964192,6.23,210.88,50,2025-09-01T06:25:54.427300+00:00,-230.2864
6964193,1.21,151.04,36,2025-09-01T06:26:30.593000+00:00,73.9849
6964194,1.41,246.96,55,2025-09-01T06:26:46.124300+00:00,85.5901
6964195,1.0,190.16,47,2025-09-01T06:27:03.622200+00:00,190.16
6964196,86.96,387.07,75,2025-09-01T06:27:16.904700+00:00,-408.851
6964197,1.29,186.26,42,2025-09-01T06:28:26.244500+00:00,129.3163
6964198,35.58,310.37,60,2025-09-01T06:28:42.704300+00:00,-295.2558
6964199,3.49,157.62,37,2025-09-01T06:29:40.787600+00:00,-59.4656
6964200,1.17,161.99,42,2025-09-01T06:30:09.639900+00:00,147.713
6964201,1.83,309.86,62,2025-09-01T06:30:24.759100+00:00,47.3758
6964202,2.55,155.56,39,2025-09-01T06:30:45.514100+00:00,-52.3433
6964203,1.98,194.82,45,2025-09-01T06:31:10.458300+00:00,21.6013
6964204,1.41,199.37,43,2025-09-01T06:31:32.235400+00:00,112.2958
6964205,4.16,207.64,54,2025-09-01T06:31:49.712000+00:00,-126.9743
6964206,1.07,214.72,46,2025-09-01T06:32:20.782100+00:00,182.9884
6964207,1.77,347.72,62,2025-09-01T06:32:34.872000+00:00,105.8431
6964208,1.05,195.27,44,2025-09-01T06:32:55.234600+00:00,193.5429
6964209,2.06,371.11,83,2025-09-01T06:33:09.026200+00:00,-54.1407
6964210,3.53,192.11,48,2025-09-01T06:33:31.272900+00:00,-120.209
6964211,1.04,135.87,34,2025-09-01T06:34:00.257600+00:00,131.2543
6964212,2.7,315.52,72,2025-09-01T06:34:13.846200+00:00,-102.8855
6964213,1.13,156.71,34,2025-09-01T06:34:39.533900+00:00,124.8567
6964214,2.48,289.17,60,2025-09-01T06:34:54.173900+00:00,-85.5446
6964215,1.72,211.26,47,2025-09-01T06:35:18.675800+00:00,45.0326
6964216,1.1,148.58,36,2025-09-01T06:35:38.671100+00:00,122.2766
6964217,1.41,361.61,69,2025-09-01T06:35:53.000300+00:00,195.7379
6964218,1.0,218.3,53,2025-09-01T06:36:10.554100+00:00,218.3
6964219,1.32,299.13,61,2025-09-01T06:36:23.784600+00:00,155.4384
6964220,2.13,161.31,42,2025-09-01T06:36:40.430600+00:00,7.8732
6964221,1.5,161.32,39,2025-09-01T06:37:03.111200+00:00,40.2172
6964222,4.36,237.77,51,2025-09-01T06:37:21.312000+00:00,-114.0786
6964223,12.79,173.12,38,2025-09-01T06:37:52.993400+00:00,-114.4422
6964224,18.75,227.97,55,2025-09-01T06:38:38.180800+00:00,-172.3216
6964225,1.54,179.62,42,2025-09-01T06:39:28.163300+00:00,54.4728
6964226,9.65,156.8,36,2025-09-01T06:39:46.680600+00:00,-101.8533
6964227,1.04,135.74,35,2025-09-01T06:40:28.390500+00:00,128.9831
6964228,9.56,295.89,67,2025-09-01T06:40:42.039900+00:00,-206.1889
6964229,6.42,171.99,37,2025-09-01T06:41:23.605200+00:00,-146.8305
6964230,2.04,239.16,57,2025-09-01T06:42:00.078400+00:00,-27.4368
6964231,3.09,135.68,38,2025-09-01T06:42:22.180300+00:00,-51.7953
6964232,2.99,186.2,54,2025-09-01T06:42:49.508800+00:00,-91.7715
6964233,1.17,223.43,47,2025-09-01T06:43:16.391600+00:00,162.5386
6964234,3.1,382.2,73,2025-09-01T06:43:31.492200+00:00,-129.2942
6964235,1.11,206.68,42,2025-09-01T06:43:58.830900+00:00,176.1292
6964236,3.6,370.36,66,2025-09-01T06:44:13.367300+00:00,-259.4168
6964237,1.0,198.18,45,2025-09-01T06:44:42.644200+00:00,198.18
6964238,4.05,317.16,66,2025-09-01T06:44:55.853800+00:00,-200.4801
6964239,12.83,194.69,49,2025-09-01T06:45:26.613900+00:00,-134.8819
6964240,13.09,178.24,37,2025-09-01T06:46:11.767200+00:00,-183.6864
6964241,1.64,177.83,46,2025-09-01T06:46:57.243200+00:00,42.4535
6964242,4.07,226.42,51,2025-09-01T06:47:16.650000+00:00,-163.3078
6964243,7.72,198.58,42,2025-09-01T06:47:47.420700+00:00,-141.8901
